,sents
199,Newcastle pushed hard for an equaliser before the break but Mohamed Diame saw his attempt to convert a Florian Lejeune knockdown deflect behind for a corner from which a wonder save from Foster clawed Gayle's goal-bound header away from goal
200,"Newcastle so nearly found an immediate response as Kenedy played a neat one-two with Ayoze Perez to get in behind the West Brom defence, but his low, toe poke clipped the outside of the post on 34 minutes"
201,"Newcastle so nearly found an immediate response as Kenedy played a neat one-two with Ayoze Perez to get in behind the West Brom defence, but his low, toe poke clipped the outside of the post on 34 minutes"
202,"Newcastle struck the post and saw Ben Foster pull off a stunning save to keep a Dwight Gayle header out in a frustrating performance, although they will take comfort from the fact their top-flight status is secure"
203,"With both teams struggling to assert themselves in the opening exchanges, it took until 17 minutes for the first effort on target, Gayle drawing a save from Foster with a pop shot from 20 yards"
204,"Chris Brunt whistled a long-range effort just wide with 21 minutes remaining, but the Magpies continued to pile forward in search of an equaliser as substitute Joselu headed wide on 85 minutes"
205,"As their hopes of a comeback faded, frustration appeared to get the better of Newcastle, with Islam Slimani kicking out at defender Craig Dawson in an ugly incident which could yield more severe consequences"
206,"After a cagey opening, Saints started to commit more bodies forward, and almost took the lead 14 minutes in, but Nathan Redmond and then Oriol Romeu saw their strikes blocked in the box"
207,"After a cagey opening, Saints started to commit more bodies forward, and almost took the lead 14 minutes in, but Nathan Redmond and then Oriol Romeu saw their strikes blocked in the box"
208,"Southampton then missed two glorious chances to put the game to bed through substitute Shane Long and Redmond, before McCarthy stepped up when called upon late in the day"
209," Steve Cook tried to bring the ball down on his chest, Tadic nipped in, strode clear of Cook, had options either side, but used the runs as decoys, creating space for him to brilliantly steer the ball into the net with the outside of his boot"
210,"Lemina then saw a fine effort well saved by Asmir Begovic in the away goal, before McCarthy brilliantly denied Nathan Ake down the other end"
211," Steve Cook tried to bring the ball down on his chest, Tadic nipped in, strode clear of Cook, had options either side, but used the runs as decoys, creating space for him to brilliantly steer the ball into the net with the outside of his boot"
212," Southampton took the lead in the 25th minute after a swift counter, with Tadic finishing off the move in style to net his fifth league goal of the season, before Josh King slammed the ball into the roof of the net to level on the stroke of half-time"
213," One lapse in concentration, however, saw the hosts concede at a crucial moment, as King arrived unchallenged at the back post to fire home"
214,"Everton could have nabbed an early goal inside three minutes when Walcott darted into the box before his intended pass to Rooney was poorly intercepted, but Cenk Tosun was unable to capitalise on the loose ball as his effort flashed across the face of goal"
215," Newcastle failed to clear a corner, allowing Rooney to whip the ball into the area which was headed towards the back post by Michael Keane"
216,""" ""We didn't take our chances and that is the difference when you have Walcott or Rooney or players on these wages that can make a difference"
217,"But Everton did find the breakthrough six minutes into the second half, as Yannick Bolasie pumped a ball into the area from the right to pick out Walcott at the back post"
218,"Everton could have nabbed an early goal inside three minutes when Walcott darted into the box before his intended pass to Rooney was poorly intercepted, but Cenk Tosun was unable to capitalise on the loose ball as his effort flashed across the face of goal"
219, The former Arsenal forward then found himself a pocket of space before lifting the ball over goalkeeper Martin Dubravka and into the roof of the net
220,West Ham struck back 13 minutes later when David Ospina punched away Arthur Masuaku's cross and the ball was eventually worked to substitute Manuel Lanzini to slip in Arnautovic and he rifled a brilliant shot across the goalkeeper and into the far corner
221, The Frenchman was a consistent focal point for the home team throughout the game and profited when Pierre-Emerick Aubameyang emerged from the bench to give him additional support in attack
222,"West Ham goalkeeper Hart made superb saves to deny Xhaka and Danny Welbeck, but was cruelly beaten by Ramsey eight minutes from time when Declan Rice inexplicably ducked out of the way of the Welshman's cross and the ball drifted into the net"
223,"Three minutes later, Lacazette scored Arsenal's third when he finished off a flowing Arsenal move with a fierce drive, which deflected off Aaron Cresswell and across Hart"
224,"Badou Ndiaye opened his Stoke account on 11 minutes with a deflected effort from 20 yards, but Ashley Barnes scrambled home a leveller (62) for his sixth goal in his last eight Premier League games"
225,Stoke took the lead with the first chance of the game as Ndiaye saw his 20-yard effort deflect off the boot of Kevin Long and fall past Nick Pope following unselfish work from Mame Biram Diouf on the edge of the box
226,Stoke took the lead with the first chance of the game as Ndiaye saw his 20-yard effort deflect off the boot of Kevin Long and fall past Nick Pope following unselfish work from Mame Biram Diouf on the edge of the box
227,"Gudmundsson forced a good save out of Butland with a 25-yard free-kick, but Stoke should have gone into the half 2-0 up as Diouf received Moritz Bauer's cross in space inside the box, but the forward decided to attempt a touch rather than shoot, seeing the ball squirm under his foot"
228,"There was a late flurry of chances at both ends, with a draw not suiting Stoke; substitute Ireland curled a beauty off the post from 20 yards, while at the other end Gudmundsson saw efforts saved by Butland and curl past the far post"
229,"James Tarkowski nearly equalised, but saw his header from a corner well saved by Butland, but it was 1-1 shortly after as Barnes turned home off his knee after Butland had again saved Tarkowski's header from close range"
230,Stoke took the lead with the first chance of the game as Ndiaye saw his 20-yard effort deflect off the boot of Kevin Long and fall past Nick Pope following unselfish work from Mame Biram Diouf on the edge of the box
